1120210715229296,CRUDEOIL 21 Jul 15 5050 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5050CE,11,20,229296,CRUDEOIL
1120210715229297,CRUDEOIL 21 Jul 15 5050 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5050PE,11,20,229297,CRUDEOIL
1120210715229298,CRUDEOIL 21 Jul 15 5100 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5100CE,11,20,229298,CRUDEOIL
1120210715229299,CRUDEOIL 21 Jul 15 5100 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5100PE,11,20,229299,CRUDEOIL
1120210715229300,CRUDEOIL 21 Jul 15 5150 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5150CE,11,20,229300,CRUDEOIL
1120210715229301,CRUDEOIL 21 Jul 15 5150 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5150PE,11,20,229301,CRUDEOIL
1120210715229302,CRUDEOIL 21 Jul 15 5200 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5200CE,11,20,229302,CRUDEOIL
1120210715229303,CRUDEOIL 21 Jul 15 5200 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5200PE,11,20,229303,CRUDEOIL
1120210715229304,CRUDEOIL 21 Jul 15 5250 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5250CE,11,20,229304,CRUDEOIL
1120210715229305,CRUDEOIL 21 Jul 15 5250 PE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5250PE,11,20,229305,CRUDEOIL
1120210715229306,CRUDEOIL 21 Jul 15 5300 CE,31,1,0.1,,0900-2355|1815-1915:17,2021-07-13,1626393540,MCX:CRUDEOIL21JUL5300CE,11,20,229306,CRUDEOIL
