101000000010599,GUJARAT GAS LIMITED,0,1,0.05,INE844O01030,0915-1530|1815-1915:17,2021-07-13,,NSE:GUJGASLTD-EQ,10,10,10599,GUJGASLTD
101000000010604,BHARTI AIRTEL LIMITED,0,1,0.05,INE397D01024,0915-1530|1815-1915:17,2021-07-13,,NSE:BHARTIARTL-EQ,10,10,10604,BHARTIARTL
101000000010618,SADBHAV INFRA PROJ LTD.,0,1,0.05,INE764L01010,0915-1530|1815-1915:17,2021-07-13,,NSE:SADBHIN-EQ,10,10,10618,SADBHIN
101000000010661,PONNIE SUGARS (ERODE) LTD,0,1,0.05,INE838E01017,0915-1530|1815-1915:17,2021-07-13,,NSE:PONNIERODE-EQ,10,10,10661,PONNIERODE
101000000010666,PUNJAB NATIONAL BANK,0,1,0.05,INE160A01022,0915-1530|1815-1915:17,2021-07-13,,NSE:PNB-EQ,10,10,10666,PNB
101000000010683,SHAIVAL REALITY LIMITED,0,1,0.05,INE262S01010,0915-1530|1815-1915:17,2021-07-13,,NSE:SHAIVAL-SM,10,10,10683,SHAIVAL
101000000010700,SURANA TELECOM AND POW LT,0,1,0.05,INE130B01031,0915-1530|1815-1915:17,2021-07-13,,NSE:SURANAT&P-EQ,10,10,10700,SURANAT&P
101000000010717,TIMES GUARANTY LIMITED,0,1,0.05,INE289C01025,0915-1530|1815-1915:17,2021-07-13,,NSE:TIMESGTY-EQ,10,10,10717,TIMESGTY
101000000010726,INDIAMART INTERMESH LTD,0,1,0.05,INE933S01016,0915-1530|1815-1915:17,2021-07-13,,NSE:INDIAMART-EQ,10,10,10726,INDIAMART
10100000001073,FOSECO INDIA LTD,0,1,0.05,INE519A01011,0915-1530|1815-1915:17,2021-07-13,,NSE:FOSECOIND-EQ,10,10,1073,FOSECOIND
101000000010738,ORACLE FIN SERV SOFT LTD.,0,1,0.05,INE881D01027,0915-1530|1815-1915:17,2021-07-13,,NSE:OFSS-EQ,10,10,10738,OFSS
101000000010753,UNION BANK OF INDIA,0,1,0.05,INE692A01016,0915-1530|1815-1915:17,2021-07-13,,NSE:UNIONBANK-EQ,10,10,10753,UNIONBANK
101000000010755,APTECH LIMITED,0,1,0.05,INE266F01018,0915-1530|1815-1915:17,2021-07-13,,NSE:APTECHT-EQ,10,10,10755,APTECHT
10100000001076,ZENSAR TECHNOLOGIES  LTD,0,1,0.05,INE520A01027,0915-1530|1815-1915:17,2021-07-13,,NSE:ZENSARTECH-EQ,10,10,1076,ZENSARTECH
101000000010768,ORIENTAL AROMATICS LTD,0,1,0.05,INE959C01023,0915-1530|1815-1915:17,2021-07-13,,NSE:OAL-EQ,10,10,10768,OAL
101000000010769,AHIMSA INDUSTRIES LTD.,0,1,0.05,INE136T01014,0915-1530|1815-1915:17,2021-07-13,,NSE:AHIMSA-SM,10,10,10769,AHIMSA
101000000010786,NOIDA TOLL BRIDGE CO LTD,0,1,0.05,INE781B01015,0915-1530|1815-1915:17,2021-07-13,,NSE:NOIDATOLL-EQ,10,10,10786,NOIDATOLL
101000000010791,NUCLEUS SOFTWARE EXPORTS,0,1,0.05,INE096B01018,0915-1530|1815-1915:17,2021-07-13,,NSE:NUCLEUS-EQ,10,10,10791,NUCLEUS
